source;from_user
6434489;237686494
8532506;18476901
11015556;155541896
13657497;58560752
13657497;50227531
19582981;3758533
19627530;944543
21860191;102299102
21860191;133775558
23253664;-24657583
25967872;205393242
31097186;10622299
31097186;73401977
31665570;22803846
38458697;65686227
39906346;49429073
40388201;216212569
41655915;56834067
42293987;186712915
48077671;42290242
49649329;38702964
55402833;355376475
73608393;377620643
76412961;119232138
78871239;-147791
79389999;187080292
87816022;418321542
95985542;162553888
114685937;90261603
114685937;209534667
127390128;25775672
137853198;55295780
137943472;38558966
137943472;83258184
137943472;127462611
137943472;221784994
137943472;376378123
146935063;9623862
156103215;333036987
157669606;182108146
158945396;266090714
172832956;58276212
180150145;-73921861
182870717;-33886169
182870717;116951255
184754089;44767377
194556151;150577639
194556151;320015056
196467817;81460002
200071288;11972268
203433047;321410900
215360695;61206384
221634753;927431
224917850;156183139
224917850;208938759
224917850;156488760
224917850;31941016
224917850;25009918
225198948;87939480
225198948;-40973946
226463503;13286399
228521842;229987990
229335784;199228103
229992268;72495552
229992268;402500173
244964751;213687324
244964751;214309603
244964751;328364704
248885478;2275231
253782203;191647335
255989822;12245267
261244734;217340428
265717673;203433047
265717673;213443060
266990280;104630856
266990280;144958382
266990280;235125845
266990280;236477239
266990280;300064251
278067852;2869338
278067852;107544472
282806545;15639110
337178852;318741960
341774485;-62535277
341774485;156828767
348171681;270714295
348171681;308125414
358952368;49339280
9563462;134211868
107761420;161056612
235778717;145438062
345223868;343603039
151196243;17363091
41900964;184421708
410532809;315421830
155400537;901396
283361983;219214985
283361983;332785920
25317208;1615235
-132068601;178513019
153481484;234065594
181316639;33797390
363962829;175545562
363962829;266026792
-11810438;138973649
-11810438;268758439
215247914;84192025
293951374;93877815
3989914;270530753
28986883;153081751
20324197;185921413
20324197;140890336
32855869;141924006
11296088;299952002
1785825;206198807
18472746;88346502
199317968;81507139
18476901;55284608
216212569;65453408
186712915;276920859
38702964;19650076
38702964;248499612
38702964;7112299
119232138;61177967
-147791;-120875327
-147791;-88482886
-147791;-58247063
-147791;1188677
-147791;5158068
-147791;5897781
-147791;6708282
-147791;41603170
-147791;47251274
-147791;51774167
-147791;114118383
-147791;129170999
-147791;182277648
-147791;188028317
-147791;213787874
-147791;233772804
-147791;244427273
-147791;279296516
-147791;338922031
-147791;346445741
-147791;357292801
209534667;175775458
376378123;178620743
376378123;188893329
-73921861;2271717
-73921861;4784604
-73921861;5761043
-73921861;12102160
-73921861;12856622
-73921861;60337684
-73921861;95447355
-73921861;132963685
-73921861;137881055
-73921861;146855634
-73921861;175678555
-73921861;191511372
-73921861;236257314
-73921861;390112743
-73921861;414984245
116951255;323214618
44767377;179806586
44767377;229073090
320015056;178232643
11972268;6159271
25009918;24084511
72495552;52096973
217340428;311019880
236477239;177152988
2869338;4670951
-62535277;422583768
134211868;57379075
145438062;228928717
145438062;545724
17363091;59772615
175545562;231748218
266026792;175535611
270530753;51288195
140890336;37013518
140890336;86956041
88346502;398894767
81507139;11556357
81507139;196241594
81507139;5548603
19650076;271762600
248499612;14933923
7112299;235407557
61177967;369922178
-120875327;265973548
41603170;222856712
41603170;392054414
129170999;375500069
182277648;39002074
178620743;265086312
188893329;70941157
132963685;169458091
175678555;-92278819
175678555;33634417
175678555;243515920
175678555;301568375
390112743;57639871
414984245;180637913
179806586;347503651
229073090;195327079
545724;2136498
14933923;160272437
14933923;11869500
169458091;307397428
169458091;362890145
243515920;93813487
57639871;69039690
93813487;3905734
93813487;36255225
93813487;167111532
36255225;13162003
13162003;225983723
225983723;134597974
