"unixdate";"date";"m_id";"from_user";"source";"likes count";"repost count";"copy_text";"reposter type";"depth"
"1490157690";"2017-03-22 07:41:30";"1131";"-37024113";"-19732513";"1";"0";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"2640";"-30596187";"-19732513";"3";"0";"Повод задуматься и принять свое решение. Какое? Зависит от вас!";"group";"0"
"1490157690";"2017-03-22 07:41:30";"536";"-24657583";"-19732513";"0";"0";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"1864";"-23763416";"-19732513";"12";"7";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"1747";"-16239674";"-19732513";"0";"0";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"2463";"-11810438";"-19732513";"4";"2";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"8443";"-10707271";"-19732513";"8";"5";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"4987";"-8193289";"-19732513";"0";"0";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"7334";"-7052416";"-19732513";"0";"0";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"98160";"-5372656";"-19732513";"43";"20";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"21559";"-5096716";"-19732513";"1";"0";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"6699";"-2122440";"-19732513";"1";"0";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"52181";"-147791";"-19732513";"45";"25";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"2633";"173020";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"548";"406400";"-19732513";"1";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"1286";"543100";"-19732513";"1";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"448";"606891";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"603";"733649";"-19732513";"0";"0";"Вакцинация это дешевый способ государства борьбы с эпидемиями за счет здоровья детей и будущих поколений.";"user";"0"
"1490157690";"2017-03-22 07:41:30";"7386";"901396";"-19732513";"3";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"7772";"927431";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"2255";"944543";"-19732513";"1";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"2195";"984559";"-19732513";"3";"1";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"7762";"1188677";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"4795";"1342522";"-19732513";"4";"1";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"9330";"1396426";"-19732513";"4";"3";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"19046";"1435228";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"16761";"1615235";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"1138";"1698113";"-19732513";"2";"1";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"4500";"1742580";"-19732513";"5";"2";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"7760";"1856642";"-19732513";"4";"2";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"4007";"2275231";"-19732513";"3";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"2288";"2869338";"-19732513";"5";"1";"!!!!";"user";"0"
"1490157690";"2017-03-22 07:41:30";"27708";"2889535";"-19732513";"2";"1";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"869";"2964854";"-19732513";"3";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"3585";"3181803";"-19732513";"5";"2";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"40015";"3497286";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"1711";"3551963";"-19732513";"1";"1";"";"user";"0"
"1490439167";"2017-03-25 13:52:47";"972";"3647021";"9213917";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"6405";"3758533";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"2668";"3907529";"-19732513";"0";"0";"";"user";"0"
"1490159280";"2017-03-22 08:08:00";"5258";"3989914";"-46887879";"2";"1";"";"user";"0"
"1490160538";"2017-03-22 08:28:58";"7584";"4204633";"116062222";"1";"0";"";"user";"0"
"1490424821";"2017-03-25 09:53:41";"2002";"4670951";"2869338";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"6715";"4822232";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"821";"5158068";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"2090";"5897781";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"1404";"6689855";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"5265";"6708282";"-19732513";"1";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"8652";"7002687";"-19732513";"1";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"8127";"7237092";"-19732513";"1";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"3193";"7548215";"-19732513";"1";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"5384";"7782798";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"1000";"8008200";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"5209";"8976065";"-19732513";"16";"4";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"4413";"9213917";"-19732513";"4";"1";"это важно!";"user";"0"
"1490157690";"2017-03-22 07:41:30";"731";"9622026";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"3300";"9831732";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"2579";"10161659";"-19732513";"4";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"4276";"10378715";"-19732513";"2";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"15201";"10622299";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"4459";"11015556";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"814";"12471275";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"16691";"12657689";"-19732513";"5";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"1338";"13022322";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"2122";"13026203";"-19732513";"2";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"5551";"13286399";"-19732513";"0";"0";"";"user";"0"
